case_id,method,method_label,seed_count,density_normalized_l2,velocity_normalized_l2,pressure_normalized_l2,primitive_rms_l2,primitive_geometric_mean_l2,maximum_relative_conservation_error,minimum_density,minimum_pressure,density_tv_excess,density_gradient_normalized_l1,gradient_concentration_width_ratio,online_seconds,maximum_cell_average_change,tv_trust_multiplier
moving_contact,fno_operator,FNO,3,0.5029276556027573,1.7631564079828808,0.2494076828109479,1.065520207271101,0.5715706794708048,1.041994926803541,0.21473519504070282,0.6774789094924927,1.080530325571696,3.0805302510658903,,0.001446999958716333,,
moving_contact,hllc_piecewise_constant,128-cell HLLC-PC,1,0.06841909993855154,9.584863571056353e-15,1.4257696364773402e-15,0.039501785767234635,9.778469480917516e-11,0.0023874345549736143,0.1999999999999992,0.9999999999999966,2.960594732333751e-15,2.0000000000000036,,1.529524199955631,,
moving_contact,hllc_fixed_mc_subcell,128-cell HLLC-MC,1,0.06524086229783335,9.593921847591077e-15,1.4244519974043253e-15,0.037666829409817394,9.62471538677806e-11,0.0023874345549745302,0.1999999999999992,0.999999999999996,2.960594732333751e-15,1.8696414373410208,,1.529524199955631,,
moving_contact,physics_gated_dkan_fv_sod_neighbourhood,Narrow DKAN-FV,3,0.06524086693257622,9.592938557353996e-15,1.4244266462462213e-15,0.037666832085687434,9.624039862045092e-11,0.002387434554974679,0.1999999999999992,0.999999999999996,2.960594732333751e-15,1.8696419644947275,,1.5497280999552459,4.440892098500626e-16,
moving_contact,sensor_gated_dkan_fv_engineering_tv_trust_0.02,CSE-DKAN-FV,3,0.06494145726559951,9.593494231148282e-15,1.425499450832224e-15,0.037493967833860456,9.612181609550717e-11,0.0023874345549742323,0.1999999999999992,0.999999999999996,2.960594732333751e-15,1.8736565688919364,,1.5533224999671802,4.440892098500626e-16,1.0
moving_contact,hllc_muscl_fine,512-cell HLLC,1,0.0377256635942191,4.325984157825201e-14,5.1764915888434734e-15,0.02178092203147966,2.0366626938526003e-10,0.000753926701584455,0.19999999999999787,0.999999999999988,1.7948605564773366e-14,1.6232485951299476,,7.129828100034501,,
double_rarefaction,fno_operator,FNO,3,1.1445905432044416,0.7008926882145463,0.9584874471830852,1.0853038935681647,0.9780282761375443,0.8209950594235264,0.2168639600276947,0.055670350790023804,6.792016070344775,7.73664393864925,1.5942969928700408,0.002056900004390627,,
double_rarefaction,hllc_piecewise_constant,128-cell HLLC-PC,1,0.01670688898142867,0.022303203222258334,0.01834528055194547,0.01926224573218057,0.018978522337173554,7.637662203813826e-06,0.11520227213494512,0.039664657349153004,0.026123039279478927,1.521442835073235,1.081522719836508,0.8544608999509364,,
double_rarefaction,hllc_fixed_mc_subcell,128-cell HLLC-MC,1,0.014482103464946553,0.020482769684671186,0.0152166187305189,0.016939309906395052,0.016526447013145425,7.637662205327216e-06,0.11520227213494512,0.039664657349153004,0.026123039279479055,0.13633325682340958,1.1241930550960768,0.8544608999509364,,
double_rarefaction,physics_gated_dkan_fv_sod_neighbourhood,Narrow DKAN-FV,3,0.014501737395373911,0.020484715669573085,0.015253559162472091,0.016956759032616616,0.016547804797176626,7.637662203435477e-06,0.11520227213494512,0.039664657349153004,0.026123039279479055,0.16974138537930722,1.124864918596658,0.8721712999395095,4.440892098500626e-16,
double_rarefaction,sensor_gated_dkan_fv_engineering_tv_trust_0.02,CSE-DKAN-FV,3,0.01451561429988802,0.020500660447794375,0.015241219405451928,0.016963440160769266,0.016552909061406357,7.637662204381346e-06,0.11520227213494512,0.039664657349153004,0.027858767347056355,0.24903361564579832,1.126141178664372,0.8791681999573484,4.440892098500626e-16,1.0
double_rarefaction,hllc_muscl_fine,512-cell HLLC,1,0.00701921075894437,0.0077052265375181315,0.004277609060493369,0.006504812960348899,0.006138914646722309,7.637662182058823e-06,0.1103865419655971,0.03736290828129216,0.03170796736201919,0.07933376391767336,1.030626471007371,3.6917532000225037,,
colliding_streams,fno_operator,FNO,3,0.2451951306771828,0.6497916160757833,0.3573412140911963,0.43634780938308926,0.3826812205233778,0.5317247636769935,0.5936225652694702,0.4648490846157074,3.123305761343406,5.118525511599458,,0.0018949999939650297,,
colliding_streams,hllc_piecewise_constant,128-cell HLLC-PC,1,0.029503118153100985,0.07297941306279056,0.041648317324916855,0.05141663494675049,0.04475984577976413,0.0011586260628353062,1.0,1.0,0.1681292858139924,2.1681292858139924,,0.4479532000259496,,
colliding_streams,hllc_fixed_mc_subcell,128-cell HLLC-MC,1,0.02507384319903023,0.06298275221095546,0.03538344485743503,0.044149416224208884,0.03823087320685753,0.0011586260628355717,1.0,1.0,0.1681292858139924,1.957930560795775,,0.4479532000259496,,
colliding_streams,physics_gated_dkan_fv_sod_neighbourhood,Narrow DKAN-FV,3,0.02506991142251598,0.06297184984941881,0.035377748183170646,0.04414196566648106,0.03822461727234678,0.001158626062835837,1.0,1.0,0.1681292858139924,1.957594228706887,,0.4715410000644624,4.440892098500626e-16,
colliding_streams,sensor_gated_dkan_fv_engineering_tv_trust_0.02,CSE-DKAN-FV,3,0.02288399656708105,0.05726164636900918,0.03223885378975801,0.040174275091775805,0.03482772439371094,0.0011586260628355717,1.0,1.0,0.1681292858139924,1.7747358066528112,,0.47315779997734353,4.440892098500626e-16,1.0
colliding_streams,hllc_muscl_fine,512-cell HLLC,1,0.01364927013547838,0.029370703946320114,0.019992863015815605,0.02197464749131609,0.02001241921034468,0.0011586260628435343,1.0,1.0,0.20886418342026333,1.2363811150356914,,2.0531965999980457,,
shu_osher,fno_operator,FNO,3,0.6300350004586335,0.7560019297429382,0.837502568264074,0.748287046622818,0.736739432128581,0.8838496331016075,0.7202535271644592,1.0533360242843628,0.0,1.3176320918718072,1.286278876056798,0.001879399991594255,,
shu_osher,hllc_piecewise_constant,128-cell HLLC-PC,1,0.06458551840503887,0.06753182559814709,0.04678901408510316,0.060335308886594066,0.058874763834254114,0.0017101401514494972,0.80050201149208,1.0,0.0,1.2033521701554206,1.1239601857061978,2.142336399992928,,
shu_osher,hllc_fixed_mc_subcell,128-cell HLLC-MC,1,0.06306026243964404,0.0644781038831106,0.04276295739186785,0.05762723055470879,0.05581427073125664,0.0017101401514493786,0.80050201149208,1.0,0.0,1.0768127157747989,1.1330473550474693,2.142336399992928,,
shu_osher,physics_gated_dkan_fv_sod_neighbourhood,Narrow DKAN-FV,3,0.0630613032709032,0.06447758873654935,0.04276516949057307,0.057628222333388705,0.05581559045415819,0.0017101401514486678,0.80050201149208,1.0,0.0,1.0766535101866563,1.1333439604392517,2.1642389000044204,7.105427357601002e-15,
shu_osher,sensor_gated_dkan_fv_engineering_tv_trust_0.02,CSE-DKAN-FV,3,0.0631099862546552,0.06442107669942317,0.04285464510673171,0.05765286347685763,0.05585702470751515,0.0017101401514496156,0.80050201149208,1.0,0.0,1.0753810345369332,1.1330758208106293,2.162646599987056,7.105427357601002e-15,1.0
shu_osher,hllc_muscl_fine,512-cell HLLC,1,0.029351673641133162,0.015691765054550718,0.01432681060189178,0.020920561959352248,0.018756482470563954,0.0009319497337604324,0.8000485718711996,1.0,0.0,0.5054404096670276,1.049565956982434,8.123881099978462,,
woodward_colella,fno_operator,FNO,3,0.9415305897896501,0.9894934657381884,0.9951735456686234,0.9731790690166398,0.9726549243534546,0.9863218959259565,0.27662765979766846,0.002834724960848689,0.24268718390273825,2.0904156397330538,2.2120616579562244,0.001788900000974536,,
woodward_colella,hllc_piecewise_constant,128-cell HLLC-PC,1,0.29361741529327046,0.24155925000716746,0.1420357174817772,0.234333240541534,0.21597377418844993,0.014605002168552731,0.1562620750215839,18.64330016055269,0.0,1.4649979068867047,1.8092734969667061,2.045224400004372,,
woodward_colella,hllc_fixed_mc_subcell,128-cell HLLC-MC,1,0.2906548194160931,0.23964112782229238,0.1308590967745244,0.23024059691431942,0.20888837298767965,0.014605002168552525,0.1562620750215839,18.64330016055269,0.0,1.3436684439689914,1.8180875067029603,2.045224400004372,,
woodward_colella,physics_gated_dkan_fv_sod_neighbourhood,Narrow DKAN-FV,3,0.2906505173355657,0.23964412294089762,0.13084364224229852,0.23023689800057,0.20887998902360247,0.014605002168553557,0.1562620750215839,18.64330016055269,0.0,1.343448648368487,1.8172804294743259,2.0667148999636993,1.1368683772161603e-13,
woodward_colella,sensor_gated_dkan_fv_engineering_tv_trust_0.02,CSE-DKAN-FV,3,0.28993927744094433,0.23858848042758382,0.1270801305178395,0.2288657591749303,0.20638496617888183,0.014605002168552112,0.1562620750215839,18.64330016055269,0.0,1.3330501592446427,1.8189871795794084,2.0682292000274174,5.684341886080802e-14,1.0
woodward_colella,hllc_muscl_fine,512-cell HLLC,1,0.12276034777690899,0.03481211304951215,0.04230385322294602,0.07761357741784664,0.05654438358286646,0.004904886117323725,0.1481523146878503,18.95734219027814,0.0,0.9278370622040114,1.315566306187709,9.657392099965364,,
smooth_entropy,fno_operator,FNO,3,0.2565229159575733,0.1192349753625845,0.6442396789385632,0.46408575560690873,0.27193724684510784,0.5800030478836002,1.0262341499328613,1.1748541593551636,1.8920122011695784,3.015532362569744,0.9653312762554154,0.0025144999963231385,,
smooth_entropy,hllc_piecewise_constant,128-cell HLLC-PC,1,0.0019269811152885356,4.126186290193112e-15,2.5183294674546002e-14,0.0011125430656351613,5.850319876007572e-11,2.819966482547897e-14,0.8004799266984002,0.9999999999999678,0.0,1.498207436253882,1.057591741477856,0.9470092999981716,,
smooth_entropy,hllc_fixed_mc_subcell,128-cell HLLC-MC,1,0.00015398213444745026,4.129939067269387e-15,2.518913106621639e-14,8.890162677362856e-05,2.5208232082683633e-11,2.6534330288541235e-14,0.8004799266984002,0.9999999999999675,0.0,0.012386849375351382,1.0001044746602226,0.9470092999981716,,
smooth_entropy,physics_gated_dkan_fv_sod_neighbourhood,Narrow DKAN-FV,3,0.00015564146771379527,4.129939067269387e-15,2.5193486450153468e-14,8.985964328162814e-05,2.5300836427861912e-11,2.5979218776228657e-14,0.8004799266984002,0.9999999999999675,0.0,0.020279567909059694,0.9997734656085885,0.9710969000007026,4.440892098500626e-16,
smooth_entropy,sensor_gated_dkan_fv_engineering_tv_trust_0.02,CSE-DKAN-FV,3,0.00015398213444745026,4.129939067269387e-15,2.518913106621639e-14,8.890162677362856e-05,2.5208232082683633e-11,2.6534330288541235e-14,0.8004799266984002,0.9999999999999675,0.0,0.012386849375351382,1.0001044746602226,0.9715523999766447,4.440892098500626e-16,1.0
smooth_entropy,hllc_muscl_fine,512-cell HLLC,1,1.3395911083769109e-05,1.6524568278195966e-14,1.003239796142737e-13,7.734132870254386e-06,2.8108373114821514e-11,1.0114131754335174e-13,0.8000601276867557,0.9999999999998719,0.0,0.0009267086733030705,0.9999999370211174,4.291281300014816,,
