case_group,case_id,density_normalized_l2,density_tv_excess,evaluated_shock_count,maximum_cell_average_change,maximum_normalized_rh_residual,maximum_relative_conservation_error,maximum_shock_entropy_violation,mean_shock_width_10_90,method,minimum_density,minimum_pressure,model_seed,online_seconds,pressure_normalized_l2,primitive_geometric_mean_l2,relative_conservation_errors,time,velocity_normalized_l2
in_distribution,id02,0.02148424630504699,0.08418167962614304,1,4.440892098500626e-16,0.001451184855812935,0.0005431704800592566,0.0,0.011980995622348445,physics_gated_dkan_fv_engineering,0.27556,0.127573,72002,0.39409490022808313,0.015221611036319515,0.02747630474194676,"[0.0002575084987810338, 0.0005431704800592566, 8.33782753843798e-05]",0.225037,0.06342992981438157
in_distribution,id02,0.021726846936299515,0.09263328510149084,1,4.440892098500626e-16,0.001451643479144601,0.0005431704800592566,0.0,0.01200290841405105,physics_gated_dkan_fv_engineering,0.27556,0.127573,72003,0.3912403001450002,0.015390298699127511,0.027887260642395564,"[0.0002575084987808696, 0.0005431704800592566, 8.337827538500736e-05]",0.225037,0.06485953243849368
in_distribution,id02,0.021893657633941722,0.010451955184376322,1,4.440892098500626e-16,0.0014789094434046511,0.0005431704800592566,0.0,0.012296606450385661,physics_gated_dkan_fv_sod_neighbourhood,0.27556,0.127573,26001,0.39105340000241995,0.015492419506583843,0.028144612599868262,"[0.0002575084987807055, 0.0005431704800592566, 8.337827538550941e-05]",0.225037,0.06572767264353592
in_distribution,id02,0.021705086556679316,0.08553166441743092,1,4.440892098500626e-16,0.0014829469376371562,0.0005431704800590592,0.0,0.012200750118631531,physics_gated_dkan_fv_sod_neighbourhood,0.27556,0.127573,26002,0.39171900041401386,0.015199663125206694,0.027557553841283826,"[0.0002575084987813622, 0.0005431704800590592, 8.337827538362672e-05]",0.225037,0.06343464431484315
in_distribution,id02,0.021555981091684183,0.05672487929702819,1,4.440892098500626e-16,0.0014829703361704714,0.0005431704800591579,0.0,0.012153332090889424,physics_gated_dkan_fv_sod_neighbourhood,0.27556,0.127573,26003,0.39232190046459436,0.015154711172466296,0.027395498585138373,"[0.0002575084987807055, 0.0005431704800591579, 8.337827538475634e-05]",0.225037,0.06293933771241121
in_distribution,id02,0.08162902124283226,0.5344719653226103,1,,0.04874377873030805,0.04055214360330114,0.08979135751724243,0.0792052809539111,fno_operator,0.2283187210559845,0.0966644138097763,71001,0.0013701003044843674,0.05063832597373998,0.09321047649088592,"[0.026498424570306787, 0.04055214360330114, 0.007060018264401073]",0.225037,0.1959161577437289
in_distribution,id02,0.08184640685296567,0.6401724363420536,1,,0.07246815398678387,0.03321824151854075,0.0,0.07590915285316568,fno_operator,0.27163153886795044,0.12018109858036041,71002,0.0013632001355290413,0.06939295311459918,0.10700911623520827,"[0.00539408945218346, 0.03321824151854075, 0.01337992675731684]",0.225037,0.21574828091271253
in_distribution,id02,0.0710426352252366,0.7190429206817145,1,,0.08803456606198637,0.035439635357176445,0.03832733631134033,0.07191773805454571,fno_operator,0.262968510389328,0.1186925396323204,71003,0.0014042002148926258,0.05914268382164613,0.09518689497714436,"[0.021527251072490417, 0.035439635357176445, 0.017845904168553462]",0.225037,0.2052633392334551
in_distribution,id03,0.053153856440085086,0.007867759983388291,1,,0.007736872963674059,0.0009662026551631996,0.0,0.01586547824915585,hllc_piecewise_constant,0.181776,0.21251799999999998,,0.2668972001411021,0.02170794552063592,0.049227935495586565,"[0.0006283601779674073, 0.0009662026551631996, 0.0004074503870429053]",0.174629,0.10339067400082887
in_distribution,id03,0.04945952648050346,0.008606084332118662,1,,0.022874592137246467,0.0009662026551634043,0.0,0.015523103133655125,hllc_fixed_mc_subcell,0.181776,0.21251799999999998,,0.2668972001411021,0.019150454956202483,0.044544901556118496,"[0.0006283601779672075, 0.0009662026551634043, 0.0004074503870422901]",0.174629,0.0933179007236233
in_distribution,id03,0.03038594402470611,0.007100583574389616,1,,0.0002831762632371383,0.000966202655160334,0.0,0.004147445431371022,hllc_muscl_fine,0.181776,0.21251799999999998,,1.2763338000513613,0.011317883194222942,0.026872287415531146,"[0.0006283601779628128, 0.000966202655160334, 0.00040745038703859915]",0.174629,0.05642557153395769
in_distribution,id03,0.04665343896576981,0.1919510601016056,1,2.220446049250313e-16,0.021719069417999084,0.0009662026551634043,0.0,0.015439928497422373,physics_gated_dkan_fv_engineering,0.181776,0.21251799999999998,72001,0.2842590003274381,0.01857504888314916,0.04230529829063384,"[0.0006283601779670078, 0.0009662026551634043, 0.00040745038704315134]",0.174629,0.08737167405291636
in_distribution,id03,0.04967208426488988,0.13675654904972537,1,1.1102230246251565e-16,0.02185702323058027,0.0009662026551640184,0.0,0.015329363417440844,physics_gated_dkan_fv_engineering,0.181776,0.21251799999999998,72002,0.2821278003975749,0.018537597476827424,0.04315235968415513,"[0.0006283601779674073, 0.0009662026551640184, 0.0004074503870429053]",0.174629,0.08726655180934266
in_distribution,id03,0.042326349602020044,0.4683919776756306,1,2.220446049250313e-16,0.022842203686461907,0.0009662026551634043,0.0,0.015463332833974497,physics_gated_dkan_fv_engineering,0.181776,0.21251799999999998,72003,0.2835833001881838,0.01846720294911888,0.040828798813796,"[0.0006283601779672075, 0.0009662026551634043, 0.00040745038704364346]",0.174629,0.08707387512405149
in_distribution,id03,0.049987087341786064,0.008620725451843036,1,2.220446049250313e-16,0.022868799305345352,0.0009662026551631996,0.0,0.015520816177046926,physics_gated_dkan_fv_sod_neighbourhood,0.181776,0.21251799999999998,26001,0.28099670028313994,0.018149152221788107,0.04296853282730683,"[0.0006283601779688056, 0.0009662026551631996, 0.0004074503870432744]",0.174629,0.08744548671790102
in_distribution,id03,0.049443207516024365,0.008611121606515268,1,2.220446049250313e-16,0.02287098566967272,0.0009662026551634043,0.0,0.01552039911677916,physics_gated_dkan_fv_sod_neighbourhood,0.181776,0.21251799999999998,26002,0.28698909981176257,0.01814953071356885,0.04268351603979438,"[0.0006283601779678067, 0.0009662026551634043, 0.0004074503870432744]",0.174629,0.08665797259245273
in_distribution,id03,0.04945694614745129,0.009943667638556268,1,2.220446049250313e-16,0.022870887146056867,0.000966202655163609,0.0,0.01552285906403994,physics_gated_dkan_fv_sod_neighbourhood,0.181776,0.21251799999999998,26003,0.284967599902302,0.018302743165759375,0.042812454785306264,"[0.000628360177967607, 0.000966202655163609, 0.00040745038704302833]",0.174629,0.08668958199676448
in_distribution,id03,0.15528025260787426,2.7931891601513863,1,,0.045621886166359364,0.06207012239650592,0.0,0.09922388885431221,fno_operator,0.17524157464504242,0.179107204079628,71001,0.0014952998608350754,0.11700559267051822,0.17575777914479954,"[0.06207012239650592, 0.021385421791022704, 0.050863898028926526]",0.174629,0.29882767722716735
in_distribution,id03,0.14363221337800924,1.614747656724787,1,,0.3237925597483933,0.10225424615261793,0.0,0.16,fno_operator,0.17175039649009705,0.21451392769813538,71002,0.0015770001336932182,0.13691760207752987,0.1923310853987197,"[0.01254936646581113, 0.10225424615261793, 0.06502388870881672]",0.174629,0.3617739652477415
in_distribution,id03,0.14651664823244268,2.4491813260999185,1,,0.1043710954962818,0.08598285893441836,0.04217326641082764,0.1143874435491633,fno_operator,0.17356331646442413,0.16918039321899414,71003,0.0015499000437557697,0.150439574474981,0.17817441729600247,"[0.08373670951256179, 0.0016590767956638011, 0.08598285893441836]",0.174629,0.25661791384149973
in_distribution,id04,0.033892784001242036,0.013550305105055985,1,,0.0029492247803334657,0.00015402885688360418,0.0,0.009673117264950015,hllc_piecewise_constant,0.093234,0.068085,,0.6035008002072573,0.019487046324110566,0.034159999188370274,"[0.00011297696493209141, 0.00015402885688360418, 2.4842788744726125e-05]",0.195,0.060353198862373794
in_distribution,id04,0.030916243015506766,0.013596603445464232,1,,0.005789864022667152,0.0001540288568827947,0.0,0.014647957098272824,hllc_fixed_mc_subcell,0.093234,0.068085,,0.6035008002072573,0.01668580596322088,0.030577056997507943,"[0.00011297696493151236, 0.0001540288568827947, 2.4842788743641096e-05]",0.195,0.05541829333385973
in_distribution,id04,0.014913158765544244,0.010916425855878405,1,,4.7683871038382935e-06,0.00015402885685972514,0.0,0.004356056682382148,hllc_muscl_fine,0.093234,0.068085,,2.761436900123954,0.006808984452029917,0.013720379773090215,"[0.00011297696490275315, 0.00015402885685972514, 2.484278876835568e-05]",0.195,0.025435859293693266
in_distribution,id04,0.029388484450670268,0.26927321960394496,1,4.440892098500626e-16,0.005743574990590995,0.00015402885688319944,0.0,0.014358922752888192,physics_gated_dkan_fv_engineering,0.093234,0.068085,72001,0.621507900301367,0.015355355388278999,0.02766851279619966,"[0.00011297696493209141, 0.00015402885688319944, 2.4842788743641096e-05]",0.195,0.04693754661936435
in_distribution,id04,0.029020933902503997,0.22359496442228835,1,4.440892098500626e-16,0.005792060504057988,0.00015402885688319944,0.0,0.01408949334321985,physics_gated_dkan_fv_engineering,0.093234,0.068085,72002,0.6195383998565376,0.015345711107302176,0.02760479121836071,"[0.00011297696493209141, 0.00015402885688319944, 2.484278874279718e-05]",0.195,0.04723402969795904
in_distribution,id04,0.029262333641344094,0.1856573253474183,1,8.881784197001252e-16,0.005679661089060306,0.00015402885688259234,0.0,0.014221764883852295,physics_gated_dkan_fv_engineering,0.093234,0.068085,72003,0.6180181000381708,0.015340308964105258,0.02769413630751084,"[0.00011297696493189839, 0.00015402885688259234, 2.4842788743641096e-05]",0.195,0.047317349762810754
